program_id,program_name,classification,structured_value,legacy_boolean,source_url
867BBSC,Applied Computer Science (Network Security Applications Development Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/applied-computer-science-network-security-applications-development-option-bachelor-of-science-full-time-part-time-867bbsc/
867CBSC,Applied Computer Science (Database Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/applied-computer-science-database-option-bachelor-of-science-full-time-part-time-867cbsc/
867DBSC,Applied Computer Science (Human Computer Interface Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/applied-computer-science-human-computer-interface-option-bachelor-of-science-part-time-867dbsc/
867EBSC,Applied Computer Science (Network Security Administration Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/applied-computer-science-network-security-administration-option-bachelor-of-science-part-time-867ebsc/
867FBSC,Applied Computer Science (Wireless and Mobile Applications Development Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/applied-computer-science-wireless-and-mobile-applications-development-option-bachelor-of-science-part-time-867fbsc/
8800BTECH,Construction Management,unknown/not published,,True,
8830BID,Interior Design,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/interior-design-bachelor-of-interior-design-full-time-8830bid/
8875BSN,"Nursing, Bachelor of Science in Nursing, Full-time",explicitly not allowed,Not available to international students,False,https://www.bcit.ca/programs/nursing-bachelor-of-science-in-nursing-full-time-8875bsn/
8900BTECH,Electronics,unknown/not published,,True,
8910BSC,Honours in Biotechnology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/honours-in-biotechnology-bachelor-of-science-full-time-8910bsc/
9100FADVDIP,Geographic Information Systems,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/geographic-information-systems-advanced-diploma-full-time-9100fadvdip/
9100PADVDIP,Geographic Information Systems,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/geographic-information-systems-advanced-diploma-part-time-9100padvdip/
9940BSC,Combined Honours in Biochemistry and Forensic Science,explicitly allowed,Available; joint UBC/BCIT program,True,https://www.bcit.ca/programs/combined-honours-in-biochemistry-and-forensic-science-bachelor-of-science-full-time-9940bsc/
9975BBA,Bachelor of Business Administration,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/bachelor-of-business-administration-bachelor-of-business-administration-full-time-part-time-9975bba/
9980BCI,Bachelor of Creative Industries,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/bachelor-of-creative-industries-bachelor-of-creative-industries-full-time-9980bci/
A200GRCERT,Building Energy Modelling,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/building-energy-modelling-graduate-certificate-part-time-a200grcert/
A500GRCERT,Global Leadership,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/global-leadership-graduate-certificate-full-time-a500grcert/
A600GRCERT,Business Analytics,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-analytics-graduate-certificate-full-time-a600grcert/
A700GRCERT,Business Administration,conditional/restricted,Available; study permit required; not PGWP eligible (CIP 52.0201),True,https://www.bcit.ca/programs/business-administration-graduate-certificate-full-time-a700grcert/
M120MENG,Building Science,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/building-science-master-of-engineering-full-time-part-time-m120meng/
M220MASC,Building Engineering/Building Science,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/building-engineering-building-science-master-of-applied-science-full-time-part-time-m220masc/
M410MSC,Ecological Restoration,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/ecological-restoration-master-of-science-full-time-part-time-m410msc/
M500MENG,Smart Grid Systems and Technologies,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/smart-grid-systems-and-technologies-master-of-engineering-full-time-part-time-m500meng/
M600MSC,Applied Computing,explicitly allowed,Available to international applicants,True,https://www.bcit.ca/programs/applied-computing-master-of-science-full-time-m600msc/
